"CVEGEO","nom_mun"
"""15 001""","""Acambay de Ruíz Castañeda"""
"""15 002""","""Acolman"""
"""15 003""","""Aculco"""
"""15 004""","""Almoloya de Alquisiras"""
"""15 005""","""Almoloya de Juárez"""
"""15 006""","""Almoloya del Río"""
"""15 007""","""Amanalco"""
"""15 008""","""Amatepec"""
"""15 009""","""Amecameca"""
"""15 010""","""Apaxco"""
"""15 011""","""Atenco"""
"""15 012""","""Atizapán"""
"""15 013""","""Atizapán de Zaragoza"""
"""15 014""","""Atlacomulco"""
"""15 015""","""Atlautla"""
"""15 016""","""Axapusco"""
"""15 017""","""Ayapango"""
"""15 018""","""Calimaya"""
"""15 019""","""Capulhuac"""
"""15 020""","""Coacalco de Berriozábal"""
"""15 021""","""Coatepec Harinas"""
"""15 022""","""Cocotitlán"""
"""15 023""","""Coyotepec"""
"""15 024""","""Cuautitlán"""
"""15 025""","""Chalco"""
"""15 026""","""Chapa de Mota"""
"""15 027""","""Chapultepec"""
"""15 028""","""Chiautla"""
"""15 029""","""Chicoloapan"""
"""15 030""","""Chiconcuac"""
"""15 031""","""Chimalhuacán"""
"""15 032""","""Donato Guerra"""
"""15 033""","""Ecatepec de Morelos"""
"""15 034""","""Ecatzingo"""
"""15 035""","""Huehuetoca"""
"""15 036""","""Hueypoxtla"""
"""15 037""","""Huixquilucan"""
"""15 038""","""Isidro Fabela"""
"""15 039""","""Ixtapaluca"""
"""15 040""","""Ixtapan de la Sal"""
"""15 041""","""Ixtapan del Oro"""
"""15 042""","""Ixtlahuaca"""
"""15 043""","""Xalatlaco"""
"""15 044""","""Jaltenco"""
"""15 045""","""Jilotepec"""
"""15 046""","""Jilotzingo"""
"""15 047""","""Jiquipilco"""
"""15 048""","""Jocotitlán"""
"""15 049""","""Joquicingo"""
"""15 050""","""Juchitepec"""
"""15 051""","""Lerma"""
"""15 052""","""Malinalco"""
"""15 053""","""Melchor Ocampo"""
"""15 054""","""Metepec"""
"""15 055""","""Mexicaltzingo"""
"""15 056""","""Morelos"""
"""15 057""","""Naucalpan de Juárez"""
"""15 058""","""Nezahualcóyotl"""
"""15 059""","""Nextlalpan"""
"""15 060""","""Nicolás Romero"""
"""15 061""","""Nopaltepec"""
"""15 062""","""Ocoyoacac"""
"""15 063""","""Ocuilan"""
"""15 064""","""El Oro"""
"""15 065""","""Otumba"""
"""15 066""","""Otzoloapan"""
"""15 067""","""Otzolotepec"""
"""15 068""","""Ozumba"""
"""15 069""","""Papalotla"""
"""15 070""","""La Paz"""
"""15 071""","""Polotitlán"""
"""15 072""","""Rayón"""
"""15 073""","""San Antonio la Isla"""
"""15 074""","""San Felipe del Progreso"""
"""15 075""","""San Martín de las Pirámides"""
"""15 076""","""San Mateo Atenco"""
"""15 077""","""San Simón de Guerrero"""
"""15 078""","""Santo Tomás"""
"""15 079""","""Soyaniquilpan de Juárez"""
"""15 080""","""Sultepec"""
"""15 081""","""Tecámac"""
"""15 082""","""Tejupilco"""
"""15 083""","""Temamatla"""
"""15 084""","""Temascalapa"""
"""15 085""","""Temascalcingo"""
"""15 086""","""Temascaltepec"""
"""15 087""","""Temoaya"""
"""15 088""","""Tenancingo"""
"""15 089""","""Tenango del Aire"""
"""15 090""","""Tenango del Valle"""
"""15 091""","""Teoloyucan"""
"""15 092""","""Teotihuacán"""
"""15 093""","""Tepetlaoxtoc"""
"""15 094""","""Tepetlixpa"""
"""15 095""","""Tepotzotlán"""
"""15 096""","""Tequixquiac"""
"""15 097""","""Texcaltitlán"""
"""15 098""","""Texcalyacac"""
"""15 099""","""Texcoco"""
"""15 100""","""Tezoyuca"""
"""15 101""","""Tianguistenco"""
"""15 102""","""Timilpan"""
"""15 103""","""Tlalmanalco"""
"""15 104""","""Tlalnepantla de Baz"""
"""15 105""","""Tlatlaya"""
"""15 106""","""Toluca"""
"""15 107""","""Tonatico"""
"""15 108""","""Tultepec"""
"""15 109""","""Tultitlán"""
"""15 110""","""Valle de Bravo"""
"""15 111""","""Villa de Allende"""
"""15 112""","""Villa del Carbón"""
"""15 113""","""Villa Guerrero"""
"""15 114""","""Villa Victoria"""
"""15 115""","""Xonacatlán"""
"""15 116""","""Zacazonapan"""
"""15 117""","""Zacualpan"""
"""15 118""","""Zinacantepec"""
"""15 119""","""Zumpahuacán"""
"""15 120""","""Zumpango"""
"""15 121""","""Cuautitlán Izcalli"""
"""15 122""","""Valle de Chalco Solidaridad"""
"""15 123""","""Luvianos"""
"""15 124""","""San José del Rincón"""
"""15 125""","""Tonanitla"""
